Date,Open,Close,High,Low,Volume
2020-09-29 15:09:00,1.17405,1.17389,1.17405,1.17375,220
2020-09-29 15:10:00,1.17389,1.17378,1.17389,1.17365,144
2020-09-29 15:11:00,1.17379,1.17376,1.17387,1.17369,150
2020-09-29 15:12:00,1.17376,1.17377,1.17387,1.17372,137
2020-09-29 15:13:00,1.17377,1.17373,1.17397,1.17373,269
2020-09-29 15:14:00,1.17373,1.17371,1.17379,1.17368,58
2020-09-29 15:15:00,1.17371,1.1735,1.17377,1.17349,149
2020-09-29 15:16:00,1.1735,1.17351,1.17361,1.17337,210
2020-09-29 15:17:00,1.17351,1.17364,1.17371,1.17351,150
2020-09-29 15:18:00,1.17364,1.17361,1.17366,1.17359,97
2020-09-29 15:19:00,1.17361,1.17355,1.17364,1.1735,72
2020-09-29 15:20:00,1.17355,1.17367,1.17371,1.17349,127
2020-09-29 15:21:00,1.17367,1.17381,1.17387,1.17367,83
2020-09-29 15:22:00,1.17382,1.17399,1.17401,1.17382,97
2020-09-29 15:23:00,1.17399,1.17399,1.17413,1.17395,159
2020-09-29 15:24:00,1.17399,1.17407,1.17407,1.17395,86
2020-09-29 15:25:00,1.17408,1.17404,1.17416,1.17399,87
2020-09-29 15:26:00,1.17404,1.17417,1.17417,1.17403,77
2020-09-29 15:27:00,1.1742,1.17397,1.17421,1.17397,128
2020-09-29 15:28:00,1.17397,1.17372,1.17397,1.17363,149
2020-09-29 15:29:00,1.17371,1.17367,1.17375,1.17359,142
2020-09-29 15:30:00,1.17366,1.17372,1.17377,1.17359,106
2020-09-29 15:31:00,1.17376,1.17359,1.17377,1.17357,180
2020-09-29 15:32:00,1.17358,1.17353,1.17358,1.17343,143
2020-09-29 15:33:00,1.17353,1.17347,1.17353,1.17334,151
2020-09-29 15:34:00,1.17347,1.17355,1.17365,1.17339,198
2020-09-29 15:35:00,1.17355,1.17386,1.17387,1.17351,376
2020-09-29 15:36:00,1.17385,1.17376,1.17401,1.17375,188
2020-09-29 15:37:00,1.17375,1.17377,1.17383,1.17373,161
2020-09-29 15:38:00,1.17377,1.17388,1.17391,1.17375,160
2020-09-29 15:39:00,1.17388,1.17395,1.17395,1.17387,122
2020-09-29 15:40:00,1.17395,1.17379,1.17397,1.17376,145
2020-09-29 15:41:00,1.17379,1.17343,1.17392,1.1734,295
2020-09-29 15:42:00,1.17342,1.17255,1.17351,1.17254,443
2020-09-29 15:43:00,1.17255,1.1723,1.17285,1.17222,477
2020-09-29 15:44:00,1.17231,1.17225,1.17238,1.17201,341
2020-09-29 15:45:00,1.17222,1.17199,1.17227,1.17199,168
2020-09-29 15:46:00,1.17201,1.17185,1.1721,1.17181,257
2020-09-29 15:47:00,1.17185,1.17187,1.17195,1.17165,243
2020-09-29 15:48:00,1.17185,1.17187,1.17191,1.17161,191
2020-09-29 15:49:00,1.17187,1.17195,1.17222,1.17185,170
2020-09-29 15:50:00,1.17195,1.17191,1.17199,1.17179,250
2020-09-29 15:51:00,1.17191,1.17182,1.17192,1.17177,159
2020-09-29 15:52:00,1.17181,1.17199,1.17199,1.17179,131
2020-09-29 15:53:00,1.172,1.17199,1.17225,1.17195,121
2020-09-29 15:54:00,1.17201,1.17187,1.17205,1.17187,104
2020-09-29 15:55:00,1.17189,1.17191,1.17198,1.17187,141
2020-09-29 15:56:00,1.17192,1.17209,1.1721,1.17188,73
2020-09-29 15:57:00,1.17209,1.17213,1.17225,1.17205,141
2020-09-29 15:58:00,1.17212,1.1718,1.17213,1.17173,90
2020-09-29 15:59:00,1.17181,1.17177,1.17191,1.17173,178
2020-09-29 16:00:00,1.17179,1.17165,1.17188,1.17165,330
2020-09-29 16:01:00,1.17164,1.17155,1.17167,1.17147,438
