Date,Date,Open,Close,High,Low,Volume
2020-09-30 03:13:24,2020-09-30 03:13:24,1.17317,1.17321,1.17321,1.17317,6
2020-09-30 03:13:25,2020-09-30 03:13:25,1.17321,1.17322,1.17322,1.17321,5
2020-09-30 03:13:26,2020-09-30 03:13:26,1.17323,1.17323,1.17323,1.17323,2
2020-09-30 03:13:27,2020-09-30 03:13:27,1.17323,1.17323,1.17324,1.17323,5
2020-09-30 03:13:28,2020-09-30 03:13:28,1.17323,1.17325,1.17325,1.17323,4
2020-09-30 03:13:29,2020-09-30 03:13:29,1.17325,1.17325,1.17325,1.17325,4
2020-09-30 03:13:30,2020-09-30 03:13:30,1.17325,1.17325,1.17325,1.17325,0
2020-09-30 03:13:31,2020-09-30 03:13:31,1.17325,1.17323,1.17325,1.17323,3
2020-09-30 03:13:32,2020-09-30 03:13:32,1.17323,1.17324,1.17324,1.17323,4
2020-09-30 03:13:33,2020-09-30 03:13:33,1.17324,1.17324,1.17324,1.17324,1
2020-09-30 03:13:34,2020-09-30 03:13:34,1.17324,1.17324,1.17324,1.17324,1
2020-09-30 03:13:35,2020-09-30 03:13:35,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:13:36,2020-09-30 03:13:36,1.17324,1.17324,1.17324,1.17324,1
2020-09-30 03:13:37,2020-09-30 03:13:37,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:13:38,2020-09-30 03:13:38,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:13:39,2020-09-30 03:13:39,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:13:40,2020-09-30 03:13:40,1.17324,1.17324,1.17324,1.17324,5
2020-09-30 03:13:41,2020-09-30 03:13:41,1.17324,1.17324,1.17324,1.17324,1
2020-09-30 03:13:42,2020-09-30 03:13:42,1.17324,1.17324,1.17324,1.17324,2
2020-09-30 03:13:43,2020-09-30 03:13:43,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:13:44,2020-09-30 03:13:44,1.17324,1.17324,1.17324,1.17324,1
2020-09-30 03:13:45,2020-09-30 03:13:45,1.17323,1.17323,1.17323,1.17323,1
2020-09-30 03:13:46,2020-09-30 03:13:46,1.17323,1.17324,1.17324,1.17323,5
2020-09-30 03:13:47,2020-09-30 03:13:47,1.17324,1.17324,1.17324,1.17324,1
2020-09-30 03:13:48,2020-09-30 03:13:48,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:13:49,2020-09-30 03:13:49,1.17325,1.17327,1.17327,1.17324,7
2020-09-30 03:13:50,2020-09-30 03:13:50,1.17327,1.17327,1.17327,1.17327,1
2020-09-30 03:13:51,2020-09-30 03:13:51,1.17327,1.17327,1.17327,1.17327,0
2020-09-30 03:13:52,2020-09-30 03:13:52,1.17327,1.17325,1.17327,1.17325,5
2020-09-30 03:13:53,2020-09-30 03:13:53,1.17324,1.17324,1.17324,1.17324,3
2020-09-30 03:13:54,2020-09-30 03:13:54,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:13:55,2020-09-30 03:13:55,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:13:56,2020-09-30 03:13:56,1.17325,1.17325,1.17325,1.17325,1
2020-09-30 03:13:57,2020-09-30 03:13:57,1.17325,1.17325,1.17325,1.17325,0
2020-09-30 03:13:58,2020-09-30 03:13:58,1.17325,1.17325,1.17325,1.17325,0
2020-09-30 03:13:59,2020-09-30 03:13:59,1.17325,1.17325,1.17325,1.17325,0
2020-09-30 03:14:00,2020-09-30 03:14:00,1.17325,1.17325,1.17325,1.17325,0
2020-09-30 03:14:01,2020-09-30 03:14:01,1.17325,1.17324,1.17325,1.17324,4
2020-09-30 03:14:02,2020-09-30 03:14:02,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:14:03,2020-09-30 03:14:03,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:14:04,2020-09-30 03:14:04,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:14:05,2020-09-30 03:14:05,1.17324,1.17324,1.17324,1.17324,0
2020-09-30 03:14:06,2020-09-30 03:14:06,1.17323,1.17325,1.17325,1.17323,3
2020-09-30 03:14:07,2020-09-30 03:14:07,1.17325,1.17325,1.17325,1.17325,1
2020-09-30 03:14:08,2020-09-30 03:14:08,1.17325,1.17325,1.17325,1.17325,0
2020-09-30 03:14:09,2020-09-30 03:14:09,1.17325,1.17325,1.17325,1.17325,0
2020-09-30 03:14:10,2020-09-30 03:14:10,1.17325,1.17329,1.17329,1.17325,4
2020-09-30 03:14:11,2020-09-30 03:14:11,1.17329,1.17329,1.17329,1.17329,1
2020-09-30 03:14:12,2020-09-30 03:14:12,1.17329,1.17324,1.17329,1.17324,6
2020-09-30 03:14:13,2020-09-30 03:14:13,1.17323,1.17323,1.17323,1.17323,1
2020-09-30 03:14:14,2020-09-30 03:14:14,1.17323,1.17323,1.17323,1.17323,0
2020-09-30 03:14:15,2020-09-30 03:14:15,1.17323,1.17323,1.17323,1.17323,3
2020-09-30 03:14:16,2020-09-30 03:14:16,1.17323,1.17319,1.17323,1.17319,4
2020-09-30 03:14:17,2020-09-30 03:14:17,1.17319,1.17319,1.17319,1.17319,3
